Gr. Nr.,Ebene,Gruppierung,Domain
00/00/00,Bundesebene,"DPSG Bundesverband",dpsg.de
01/00/00,Diözese,"Diözesanverband Aachen",dpsg-ac.de
01/01/00,Bezirk,"RheinBezirk",rheinbezirk.de
01/01/01,Stamm,"Krefeld-Cracau, St. Elisabeth",lagerfeuer.org
01/01/02,Stamm,"Krefeld, St. Norbertus",-
01/01/03,Stamm,"Krefeld, Inrath",dpsg-inrath.de
01/01/05,Stamm,"Stamm Linn",stamm-linn.de
01/01/06,Stamm,"Meerbusch-Lank-Latum, Lank Rheinfranken",stamm-lank.de
01/01/07,Stamm,"Krefeld-Uerdingen/Ostgoten",ostgoten.de
01/01/08,Stamm,"Krefeld-Forstwald",dpsg-forstwald.de
01/01/09,Stamm,"Krefeld-Lindenthal, Michael",stamm-st-michael.de
01/01/10,Stamm,"Krefeld-Hüls, Raubritter",raubritter-huels.de
01/01/11,Stamm,"Krefeld, Kreuz-Ritter",stamm-kreuz-ritter.de
01/02/00,Bezirk,"Bezirk Grenzland",dpsg-grenzland.de
01/02/01,Stamm,"Schiefbahn, St. Hubertus",pfadfinder-schiefbahn.de
01/02/02,Stamm,"St. Lambertus Breyell",dpsg-breyell.de
01/02/04,Stamm,"Kaldenkirchen, St. Clemens",-
01/02/05,Stamm,"Viersen, St. Remigius",dpsg-viersen.de
01/02/06,Stamm,"St. Sebastian, Lobberich",dpsg-lobberich.de
01/02/07,Stamm,"St. Vitus Oedt",vitusscout.de
01/02/08,Stamm,"Hinsbeck, St. Peter",-
01/02/09,Stamm,"Dülken",dpsg-duelken.de
01/02/12,Stamm,"Kempen",dpsg-kempen.de
01/02/13,Stamm,"Tönisvorst, St. Tönis",dpsg-st-toenis.de
01/02/14,Stamm,"Kempen, St. Hubert",dpsg-st-hubert.de
01/02/15,Stamm,"Willich-Wekeln, St. Katharina",dpsg-willich.de
01/03/00,Bezirk,"Bezirk Mönchengladbach",dpsg-mg.de
01/03/01,Stamm,"Mönchengladbach, Scheuburg",scheuburg.de
01/03/02,Stamm,"Mönchengladbach, Kreuzfahrer",pfadfinder-odenkirchen.de
01/03/03,Stamm,"Mönchengladbach, Giesenkirchen",stamm-giesenkirchen.de
01/03/04,Stamm,"Mönchengladbach-Rheydt, Cityscouts",cityscouts.org
01/03/05,Stamm,"Mönchengladbach, Windberg",stamm-windberg.de
01/03/06,Stamm,"Jüchen-Bedburdyck, St. Martinus",-
01/03/08,Stamm,"Mönchengladbach, Rabenhorst",stamm-rabenhorst.de
01/03/09,Stamm,"Mönchengladbach, Bettrath-Neuwerk",dpsgbettrath.de
01/03/10,Stamm,"Mönchengladbach-Holt, Martin-Luther-King",dpsgmlk.de
01/03/12,Stamm,"Mönchengladbach-Eicken, Trotzenburg",trotzenburg.de
01/03/14,Stamm,"Stamm Otzenrath",pfadfinder-otzenrath.de
01/03/15,Stamm,"Stamm Salier Meerkamp eV",salier-meerkamp.de
01/03/16,Stamm,"Hochneukirch",stamm-hochneukirch.de
01/03/17,Stamm,"Mönchengladbach-Rheydt, Fabula",stamm-fabula.de
01/04/00,Bezirk,"Bezirk Heinsberg",-
01/04/03,Stamm,"Gangelt, St. Nikolaus",g-scouts.de
01/04/07,Siedlung,"Hückelhoven-Doveren, Kreuzherren",-
01/04/10,Stamm,"Wegberg, Titus Brandsma",dpsgwegberg.de
01/04/12,Stamm,"Wegberg-Dalheim",dpsg-dalheim.de
01/04/13,Stamm,"Erkelenz-Mitte, St. Lambertus",pfadfinder-erkelenz.de
01/05/00,Bezirk,"Bezirk Düren",bezirk-dueren.de
01/05/01,Stamm,"Langerwehe",dpsg-langerwehe.de
01/05/03,Stamm,"Merzenich, St. Laurentius",-
01/05/05,Stamm,"Jülich, Franz von Sales",pfadfinder-juelich.de
01/05/06,Stamm,"Linnich",rurlinge.de
01/05/08,Stamm,"Siersdorf, Kreuzritter",kreuzritter-siersdorf.de
01/05/09,Stamm,"Düren-Arnoldsweiler, St. Arnold",pfadfinder-st-arnold.de
01/05/15,Stamm,"Düren, Wildgänse St. Anna",wildgaense-st-anna.de
01/06/00,Bezirk,"Bezirk Aachen-Land",-
01/06/03,Stamm,"Eschweiler-Roehe, Deutschritter",deutschritter-roehe.de
01/06/04,Stamm,"Dürwiss, St. Bonifatius",-
01/06/05,Stamm,"Eschweiler-Röthgen, Hohensteiner",hohensteiner.com
01/06/06,Stamm,"Stolberg",dpsg-stolberg.de
01/06/09,Stamm,"Stolberg-Schevenh., Wehebachthaler",wehebachthaler.de
01/06/12,Stamm,"Stolberg-Breinig/Dorff",dpsg-breinig-dorff.de
01/06/14,Stamm,"Kohlscheid I",dpsg-kohlscheid1.de
01/06/16,Stamm,"Würselen, Bardenberg",pfadfinder-bardenberg.de
01/06/17,Stamm,"Herzogenrath, Kämpchen-Bank",-
01/06/20,Stamm,"Wuerselen, St. Pius X",-
01/06/21,Stamm,"Alsdorf-Mariadorf, St. Marien",stamm-mariadorf.de
01/07/00,Bezirk,"Bezirk Eifel",dpsg-eifel.de
01/07/02,Stamm,"Blankenheim-Bl.dorf, Burgfalken",-
01/07/03,Stamm,"Hellenthal",dpsg-hellenthal.de
01/07/04,Stamm,"Kall / Eifel",pfadfinder-kall.net
01/07/05,Stamm,"Blankenheim-Rohr",weisswoelfe.de
01/07/06,Stamm,"Simmerath-Lammersd., Maximilian Kolbe",pfadfinder-lammersdorf.de
01/07/11,Stamm,"Hürtgenwald-Vossenack",pfadfinder-vossenack.de
01/08/00,Bezirk,"Bezirk Aachen-Stadt",dpsg-aachen.de
01/08/01,Stamm,"Grenzlandfalken",grenzlandfalken.de
01/08/02,Siedlung,"Stamm Jakobiner",dpsg-jakobiner.de
01/08/03,Stamm,"Aachen, Forster-Linde",forster-linde.de
01/08/05,Stamm,"Stamm Heilig Kreuz",dpsg-heilig-kreuz.de
01/08/06,Stamm,"Aachen-Brand, Kornelimünster",dpsg-brand.de
01/08/07,Stamm,"Aachen-Eilendorf",dpsg-eilendorf.de
01/08/08,Stamm,"Aachen-Laurensberg, Funkenflug",dpsgfunkenflug.de
01/08/10,Stamm,"Stamm Westwind",dpsg-westwind.de
01/08/11,Stamm,"Aachen-Oberforst., Vennfüssler",vennfuessler.de
01/08/12,Stamm,"Aachen-Innenstadt, St. Adalbert",dpsg-adalbert.de
02/00/00,Diözese,"Diözesanverband Augsburg",dpsg-augsburg.de
02/01/00,Bezirk,"Bezirk Donau-Ries",-
02/01/02,Stamm,"Donauwörth, Mangold v. Wörth",pfadfinder-donauwoerth.de
02/01/03,Stamm,"Gundelfingen, Kaspar v. Westernach",dpsg-gundelfingen.com
02/01/04,Stamm,"Nördlingen, Nordilo",pfadfinder-noerdlingen.de
02/01/06,Stamm,"Wallerstein, Wikinger",pfadfinder-wallerstein.de
02/01/08,Stamm,"Neuburg a.d.Donau",stamm-neuburg.de
02/02/00,Bezirk,"Bezirk Augsburg",dpsg-bezirk-augsburg.de
02/02/01,Stamm,"Aichach, Otto von Wittelsbach",dpsg-aichach.de
02/02/05,Stamm,"Augsburg, Livingstone",-
02/02/06,Stamm,"Augsburg-Hochzoll, St. Exupery",dpsg-hochzoll.de
02/02/07,Stamm,"Augsburg-Universitätsviertel, Salomon-Idler",dpsg-univiertel.de
02/02/08,Stamm,"Augsburg, St. Konrad",dpsg-baerenkeller.de
02/02/10,Stamm,"Augsburg, St. Ulrich & Afra",-
02/02/12,Stamm,"Stadtbergen",dpsg-stadtbergen.de
02/02/13,Stamm,"Friedberg, Konradin",dpsg-friedberg.de
02/02/15,Stamm,"Augsburg-Haunst., Weiße Rose",dpsg-haunstetten.de
02/02/16,Stamm,"Kissing, Guy de Larigaudie",pfadfinder-kissing.de
02/02/18,Stamm,"Neusäß",dpsg-neusaess.de
02/03/00,Bezirk,"Bezirk Rochus Spiecker",dpsg-rochus-spiecker.de
02/03/01,Stamm,"Landsberg, M. Himmelfahrt",dpsg-landsberg.de
02/03/03,Stamm,"Kaufering, Roncalli",dpsg-kaufering.de
02/04/00,Bezirk,"Bezirk Allgäu",pfadfinder-allgaeu.de
02/04/02,Stamm,"Kaufbeuren, St. Martin",dpsg-kaufbeuren.de
02/04/08,Stamm,"Lindenberg, Tilia Monte",tiliamonte.de
02/04/13,Stamm,"Ottobeuren, Gaugraf Silach",pfadfinder-ottobeuren.de
02/05/00,Bezirk,"Bezirk Iller",dpsg-iller.de
02/05/02,Stamm,"Burgau, Tilly",dpsg-burgau.de
02/05/03,Stamm,"Holzheim, Las Casas",-
02/05/04,Stamm,"Ichenhausen",-
02/05/05,Stamm,"Krumbach, St. Michael",pfadfinder-krumbach.de
02/05/07,Stamm,"Oberelchingen",pfadfinder-oberelchingen.de
02/05/08,Stamm,"Vöhringen, Don Bosco",dpsg-voehringen.de
02/05/09,Stamm,"Weißenhorn, St. Franziskus",-
02/05/10,Stamm,"Obergessertshausen, St. Peter",-
03/00/00,Diözese,"Diözesanverband Bamberg",dpsg-bamberg.de
03/01/00,Bezirk,"Bezirk Nürnberg/Fürth",dpsg-bezirknf.de
03/01/04,Stamm,"St. Ludwig Nürnberg",dpsg-ludwig.de
03/01/05,Stamm,"Nürnberg, Maximilian Kolbe",dpsg-maxkolbe.de
03/01/06,Stamm,"Nürnberg-Laufamholz, St. Otto",dpsg-otto.de
03/01/07,Stamm,"Fürth - Mannhof, Sophie Magdalena Scholl",dpsg-sms.de
03/01/08,Stamm,"Nürnberg-Sebald, zu Unserer Lieben Frau",dpsg-ulf.de
03/01/11,Stamm,"Nürnberg, St.Josef - Allerheiligen",dpsg-josef-allerheiligen.de
03/02/00,Bezirk,"Bezirk 2",bezirk2.de
03/02/01,Stamm,"Höchstadt-Hohestete",-
03/02/02,Stamm,"Bamberg, Bischof Otto",-
03/02/03,Stamm,"Uffenheim, Herz Jesu",-
03/02/06,Stamm,"Hirschaid, St. Vitus",pfadfinder-hirschaid.de
03/02/07,Stamm,"Neustadt a.d.Aisch, St. Johannis",-
03/02/08,Stamm,"Bamberg, St. Josef",-
03/03/00,Bezirk,"Bezirk Obermain",dpsg-obermain.de
03/03/01,Stamm,"Altenkunstadt, St. Kilian",dpsg-altenkunstadt.de
03/03/02,Stamm,"Lichtenfels, Andechs-Meran",sam-lichtenfels.de
03/03/03,Stamm,"Bad Staffelstein, Andechs-Rothenau",dpsg-badstaffelstein.de
03/03/05,Stamm,"Kronach-Friesen, St. Georg",dpsg-friesen.de
03/03/08,Stamm,"Bayreuth, Hl. Kreuz",dpsg-bayreuth.de
03/04/00,Bezirk,"Bezirk Schwabachgrund",dpsg-schwabachgrund.de
03/04/01,Stamm,"Erlangen-Sieglitzhof, St. Theresia",pfadfinder-erlangen.de
03/04/02,Stamm,"Erlangen, St. Bonifaz",dpsgbonifaz.de
03/04/03,Stamm,"Uttenreuth, St. Kunigunde",pfadfinder-uttenreuth.de
03/04/05,Stamm,"Stamm Tennenlohe",dpsg-tennenlohe.de
03/04/06,Stamm,"Aurachtal - Herzogenaurach",pfadfinder-aurachtal.de
03/04/08,Stamm,"Stamm St. Marien, Erlangen Bruck",-
03/04/09,Stamm,"Bubenreuth",dpsg-bubenreuth.de
04/00/00,Diözese,"Diözesanverband Berlin",dpsg-berlin.de
04/00/01,Stamm,"Berlin-Pankow, St. Georg",-
04/00/02,Siedlung,"Berlin-Tempelhof, Salvator",-
04/01/01,Stamm,"Berlin-Moabit, St. Paulus",dpsg-st-paulus.de
04/01/02,Stamm,"Berlin-Neukölln (Gropiusstadt), Dominicus",sanktdominicus.de
04/01/04,Stamm,"Berlin-Lankwitz, Don Bosco",dpsg-donbosco.de
04/01/05,Stamm,"Berlin-Charlottenburg, St. Ludwig, Phoenix",dpsg-phoenix.de
04/01/06,Stamm,"Berlin, St. Lambertus",-
04/01/09,Stamm,"Berlin-Zehlendorf, St. Otto",dpsg-sankt-otto.de
04/01/10,Stamm,"Berlin, St. Bonifatius",boni-berlin.de
04/01/11,Stamm,"Berlin-Spandau, Anselm v. Havelberg",dpsg-avh.de
04/01/14,Stamm,"Michendorf, Impeesa",-
04/01/15,Stamm,"Berlin-Spandau, St. Markus",-
04/01/16,Stamm,"Berlin-Charlottenburg, Heilig Geist",-
04/02/03,Stamm,"Greifswald, Boddenkieker",dpsg-boddenkieker.de
04/02/07,Stamm,"Potsdam, Sanssouci",pfadis-potsdam.de
05/00/00,Diözese,"Diözesanverband Eichstätt",dpsg-eichstaett.de
05/01/02,Stamm,"Neumarkt, Pfalzgraf Johann",dpsg-neumarkt.de
05/01/04,Stamm,"Wendelstein, St. Nikolaus",dpsgwendelstein.de
05/01/06,Stamm,"Roßtal, Horsadal",dpsg-rosstal.de
05/01/07,Stamm,"Schwanstetten-Rednitzhembach",-
05/02/01,Stamm,"Eichstätt Dom",pfadfinder-eichstaett.de
05/02/02,Stamm,"Weißenburg, Deutschritter",dpsg-weissenburg.de
05/02/04,Stamm,"Pleinfeld, St. Michael",-
05/02/05,Stamm,"Treuchtlingen",dpsg-treuchtlingen.de
05/03/02,Stamm,"Spalt, St. Emmeram",pfadfinder-spalt.de
05/03/03,Stamm,"Gunzenhausen",dpsg-gunzenhausen.de
05/04/01,Stamm,"Ingolstadt, Münsterritter",dpsg-muensterritter.de
05/04/05,Stamm,"Ingolstadt, St. Pius",-
06/00/00,Diözese,"Diözesanverband Essen",dpsg-essen.de
06/01/00,Bezirk,"DPSG Bezirk Borbeck & Frohnhausen",dpsg-essen-bofro.de
06/01/06,Stamm,"Essen-Frintrop, St. Josef",-
06/01/08,Stamm,"Essen-Schönebeck, St. Ant. Abbas",dpsg-abbas.de
06/01/14,Stamm,"Essen-Frohnhausen, Dom Helder Camara",dhc-dpsg.de
06/01/22,Stamm,"Essen-Beding., St. Franziskus",dpsg-franziskus.de
06/01/27,Stamm,"Essen-Frohnhausen, St. Augustinus",-
06/02/00,Bezirk,"Bezirk Duisburg",dpsg-duisburg.de
06/02/01,Stamm,"Duisburg-Huckin.,Marc.Callo/St. Peter und Paul",dpsg-huckingen.de
06/02/05,Stamm,"Duisburg-Buchh., Jud. Th./K.Martin",dpsg-karl-martin.de
06/02/06,Stamm,"Duisburg-Großenbaum, St. Franziskus",dpsg-grossenbaum.de
06/02/08,Stamm,"Duisburg-Serm, Herz Jesu",-
06/02/10,Stamm,"Duisburg-Buchholz, Hl. Geist",dpsg-heilig-geist.de
06/02/11,Stamm,"Duisburg-Hamborn, St. Peter Marxloh",dpsg-marxloh.de
06/02/12,Stamm,"Duisburg-Rahm, St. Hubertus",rahmerpfadfinder.de
06/02/14,Stamm,"Duisburg, Abtei Hamborn",dpsg-abtei-hamborn.de
06/02/15,Stamm,"Duisburg-Buchholz, St. Nikolaus",dpsgsanktnikolaus.de
06/02/17,Stamm,"Duisburg-Fahrn, St. Georg",dpsg-stgeorg.de
06/04/00,Bezirk,"Bezirk Bottrop/Gladbeck",dpsg-botgla.de
06/04/01,Stamm,"Gladbeck-Mitte, St. Johannes",-
06/04/02,Stamm,"Gladbeck-Zweckel, Herz Jesu",dpsg-zweckel.de
06/04/03,Stamm,"Bottrop-Eigen, St. Pius / Philippo Neri",-
06/04/04,Stamm,"Bottrop, St. Peter",dpsg-stpeter.de
06/04/06,Stamm,"Bottrop, Herz Jesu, St. Barbara",-
06/04/10,Stamm,"Gladbeck-Rentfort, St. Josef",dpsg-rentfort.de
06/04/11,Stamm,"Bottrop, Impeesa",-
06/04/12,Stamm,"Gladbeck-Ellinghorst, Elisabeth",-
06/05/00,Bezirk,"Bezirk Ennepe-Ruhr",bezirk-en.de
06/05/01,Stamm,"Gevelsberg, St. Engelbert",dpsg-gevelsberg.de
06/05/02,Stamm,"Schwelm, St. Marien",pfadfinden-schwelm.de
06/05/03,Stamm,"Ennepetal, Herz Jesu",dpsg-herzjesu-ennepetal.de
06/05/04,Stamm,"Witten-Buchholz, St. Antonius",dpsg-buchholz.de
06/05/05,Stamm,"Sprockhövel, St. Januarius",dpsg-stjanuarius.de
06/05/06,Stamm,"Sprockhövel-Hasslinghausen, Sankt Josef",sanktjosef.de
06/05/07,Stamm,"DPSG Bredenscheid, St.Mariä Empfängnis",dpsg-bredenscheid.de
06/05/08,Stamm,"Hattingen-Mitte, Peter und Paul",-
06/05/09,Stamm,"Wetter-Volmarstein, St. Augustinus u. Monika",dpsg-volmarstein.de
06/05/10,Stamm,"Hattingen-Niederbonsfeld, Isenburg",stammisenburg.de
06/05/11,Stamm,"Hattingen - Winz-Baak, Heilig Geist",-
06/05/13,Stamm,"Hattingen-Niederwenigern, ""Die Wennischen""",-
06/05/14,Stamm,"Janusz Korczak Wetter-Wengern e.V.",dpsg-wengern.de
06/06/00,Bezirk,"Bezirk Gelsenkirchen",dpsg-gelsenkirchen.de
06/06/01,Stamm,"Gelsenkirchen-Horst, Albino Luciani",dpsg-albinoluciani.de
06/06/04,Stamm,"Gelsenkirchen-Feldmark, Kreuzritter",dpsg-kreuzritter.de
06/06/05,Stamm,"Gelsenkirchen-Schalke,Graf v.Galen",dpsg-kvg.de
06/06/06,Stamm,"Gelsenkirchen-Ückendorf, Thomas Morus",dpsg-thomas-morus.info
06/06/07,Stamm,"Stamm Exodus",dpsg-exodus.de
06/06/08,Stamm,"Elisabeth von Thüringen",dpsg-evt.de
06/06/09,Stamm,"Gelsenkirchen, Rochus Spiecker",dpsg-rs.de
06/06/11,Stamm,"Gelsenkirchen-Buer, Don Bosco",donbosco-buer.de
06/06/13,Stamm,"Martin Luther King",dpsg-mlk.de
06/06/16,Stamm,"Gelsenkirchen, Herz Jesu, Angelo Giuseppe Roncalli",dpsg-roncalli.de
06/07/00,Bezirk,"Bezirk Sauerland",dpsg-sauerland.de
06/07/01,Stamm,"Halver-Schalksmühle, Don Bosco",pfadfinder-halver.de
06/07/03,Stamm,"Neuenrade, Steve Biko",-
06/07/04,Stamm,"Werdohl, St. Michael",dpsg-w.de
06/07/05,Stamm,"Lüdenscheid, St. Medardus",dpsg-luedenscheid.de
06/07/06,Stamm,"Plettenberg, Alavanyo",-
06/07/07,Stamm,"Dahl/Rummenohl, Don Bosco",stammdonbosco.de
06/08/00,Bezirk,"Bezirk Bochum & Wattenscheid",dpsg-bowat.eu
06/08/01,Stamm,"Bochum-Altenbochum, Liebfrauen",dpsg-altenbochum.de
06/08/02,Stamm,"Bochum-Langendreer, Canchanabury",dpsg-canchanabury.de
06/08/03,Stamm,"Bochum, Meinolphus",dpsg-meinolphus.de
06/08/04,Stamm,"Bochum-Gerthe, St. Elisabeth",dpsg-gerthe.de
06/08/06,Stamm,"Bochum, Maximilian Kolbe",pfadfinder-hoentrop.de
06/08/07,Stamm,"Bochum-Eppendorf, St. Theresia",pfadfinder-eppendorf.de
06/08/08,Stamm,"St. Johannes Bochum-Wiemelhausen",pfadinet.de
06/08/10,Stamm,"St. Johannes der Täufer Wattenscheid-Leithe",-
06/08/11,Stamm,"Bochum-Harpen, A. Frank & M.-L. King",dpsg-bochum-harpen.de
06/08/12,Stamm,"Bochum-Weitmar, Stamm Bärendorf",stamm-baerendorf.de
06/08/13,Stamm,"Bochum-Hiltrop, Geschwister Scholl",-
06/08/14,Stamm,"Bochum-Querenb, St. Augustinus",pfadfinder-querenburg.de
06/08/16,Stamm,"Bochum-Weitmar, Kardinal von Galen",dpsg-weitmar.de
06/09/00,Bezirk,"Bezirk Mülheim / Ruhr",-
06/09/01,Stamm,"Mülheim/Ruhr, St. Joseph",dpsg-st-joseph.de
06/09/02,Stamm,"St. Mariae Rosenkranz",dpsg-rosenkranz.de
06/09/03,Stamm,"Mülheim a. d. R., St. Michael",dpsg-speldorf.de
06/09/04,Stamm,"Mülheim, St. Barbara",-
06/09/05,Stamm,"Oberhausen, Sterkrade-Mitte, St. Clemens",-
06/09/06,Stamm,"Oberhausen, U.L.F.",ulfer-scouts.de
06/09/08,Stamm,"Oberhausen, Heinrich Seuse",dpsg-osterfeld.de
06/09/10,Stamm,"Oberhausen, St. Theresia",-
06/10/00,Bezirk,"Bezirk Essen Mitte-Nord-Ost",emno.de
06/10/01,Stamm,"Essen-Stoppenberg, St. Nikolaus",dpsg-nikolaus.de
06/10/03,Stamm,"Essen-Steele-Freisenbruch, Sankt Altfrid",dpsg-altfrid.de
06/10/05,Stamm,"Essen-Huttrop und Kray/Leithe, St. Bonifatius & Barbarossa",dpsg-boba.de
06/10/07,Stamm,"Essen-Schonnebeck, St. Elisabeth",dpsg-elisabeth.de
06/11/00,Bezirk,"Bezirk Essen-Süd",dpsg-essen-sued.de
06/11/01,Stamm,"Essen-Relling., St. Lambertus",dpsg-essen-rellinghausen.de
06/11/02,Stamm,"Essen-Horst, St. Joseph, Philipp Neri",-
06/11/03,Stamm,"Essen-Burgaltendorf, Vereinigte Ruhrhalbinsel",dpsg-burgaltendorf.de
06/11/05,Stamm,"Essen-Stadtwald, St. Theresia, Sachsen",stamm-sachsen.de
06/11/06,Stamm,"Essen-Überr., Ch. de Foucauld",stammcdf.de
06/11/07,Stamm,"Essen-Heisingen, St. Georg",dpsg-heisingen.de
06/11/08,Stamm,"Essen-Haarzopf, Tommes Rusticus",tommes-rusticus.de
07/00/00,Diözese,"Diözesanverband Freiburg",dpsg-freiburg.de
07/01/00,Bezirk,"Bezirk Mannheim-Bergstraße",dpsg-mannheim-bergstrasse.de
07/01/01,Stamm,"Mannheim, St. Bernhard",dpsgstbernhard.de
07/01/02,Stamm,"Hemsbach, Johanniter",dpsghemsbach.de
07/01/03,Stamm,"Laudenbach, Cherusker",pfadfinder-laudenbach.de
07/01/04,Stamm,"Mannheim-Neckarau, Thomas Morus",pfadis-neckarau.de
07/01/05,Stamm,"Weinheim-Sulzbach, Guy de Larigaudie",dpsg-sulzbach.de
07/01/06,Stamm,"Mannheim-Friedrichsfeld, St. Bonifatius",pfadfinder-friedrichsfeld.de
07/01/07,Stamm,"Mannheim-Waldhof, St. Lioba",dpsgstlioba.com
07/01/08,Stamm,"Hirschberg-Leutershausen, St. Johannes",dpsg-leutershausen.de
07/02/00,Bezirk,"Bezirk Karlsruhe",dpsg-ka.de
07/02/01,Stamm,"Gaggenau-Bad Rotenfels, Laurentius",dpsg-laurentius.de
07/02/03,Stamm,"Kuppenheim, St. Sebastian",pfadfinder-kuppenheim.de
07/02/04,Stamm,"Baden-Baden, Hohenbaden",dpsg-hohenbaden.de
07/02/05,Stamm,"Karlsruhe, von Galen",dpsg-konrad.de
07/02/06,Stamm,"Karlsruhe-Neureut, Antoine de Saint Exupery",pfadfinder-neureut.de
07/02/10,Stamm,"Karlsruhe-Daxlanden, Guy de Larigaudie",pfadfinder-daxlanden.de
07/03/00,Bezirk,"Bezirk Ortenau-Kinzigtal",-
07/03/03,Stamm,"Offenburg, Konradin",stamm-konradin.de
07/03/04,Stamm,"Urloffen, St. Martin",dpsg-urloffen.de
07/03/06,Stamm,"Bühl, St. Peter und Paul",-
07/03/09,Stamm,"Offenburg, Albert Schweitzer",-
07/03/11,Stamm,"Willstätt, Merlin",stamm-merlin.de
07/03/12,Stamm,"Sasbachwalden, Lupus",-
07/03/13,Stamm,"Rheinmünster",dpsg-rheinmuenster.de
07/05/00,Bezirk,"Bezirk Wiesental-Hochrhein",-
07/05/01,Stamm,"Wehr, St. Bernhard",dpsg-wehr.de
07/05/03,Stamm,"Lörrach-Stetten, St. Fridolin",dpsg-stetten.de
07/05/04,Stamm,"Weil am Rhein, St. Sebastian",dpsg-weil.de
07/05/06,Stamm,"Lörrach-Brombach, St. Josef",dpsg-brombach.de
07/05/08,Stamm,"Dogern, St. Clemens",dpsgdogern.de
07/05/09,Stamm,"Kandern, Sankt Katharina",-
