Gr. Nr.,Ebene,Gruppierung,Domain
17/05/05,Stamm,"Rotthalmünster, St. Sebastian",pfadfinderstamm.de
17/05/08,Siedlung,"Fürstenzell",-
17/06/01,Stamm,"Frauenau",-
17/07/01,Stamm,"Grafenau",dpsg-grafenau.de
18/00/00,Diözese,"Diözesanverband Regensburg",dpsg-regensburg.de
18/01/00,Bezirk,"FichtelBezirk",dpsg-fichtelbezirk.de
18/01/01,Stamm,"Speichersdorf, Kirchenlaibach",dpsg-speichersdorf.de
18/01/02,Stamm,"Kulmain",dpsg-kulmain.de
18/01/03,Stamm,"Mitterteich",dpsg-mitterteich.de
18/01/04,Stamm,"Marktredwitz",dpsg-marktredwitz.de
18/01/05,Stamm,"Tirschenreuth",dpsg-tirschenreuth.de
18/02/00,Bezirk,"BurgenBezirk",dpsg-burgenbezirk.de
18/02/01,Stamm,"Eschenbach",pfadfinder-eschenbach.de
18/02/02,Stamm,"Weiden, Thomas Morus",pfadfinder-weiden.com
18/02/03,Stamm,"Neuhaus, Don Bosco",pfadfinder-neuhaus.de
18/02/08,Stamm,"Windischeschenbach, St. Georg",pfadfinder-windischeschenbach.de
18/03/00,Bezirk,"HüttenBezirk",-
18/03/01,Stamm,"Amberg, St. Georg",dpsg-amberg.de
18/03/02,Stamm,"Ammersricht, St. Konrad",dpsg-ammersricht.de
18/03/05,Stamm,"Schnaittenbach",dpsg-schnaittenbach.de
18/03/06,Stamm,"Sulzbach-Rosenberg",pfadfinder-suro.de
18/03/07,Stamm,"Poppenricht-Michaelspoppenricht",-
18/03/08,Stamm,"Ensdorf",dpsg-ensdorf.de
18/05/00,Bezirk,"Bezirk Niederbayern",-
18/05/01,Stamm,"Puchhausen-Hüttenkofen",-
18/05/03,Stamm,"Straßkirchen, Impeesa",pfadfinder-strasskirchen.de
18/05/04,Stamm,"Landshut, Angelo Roncalli",-
18/05/05,Stamm,"Landshut, St. Pius",-
18/05/06,Stamm,"DPSG Stamm Viechtach",-
18/05/07,Stamm,"Landshut, St. Wolfgang",-
18/05/09,Stamm,"Hohenthann",-
18/05/13,Siedlung,"Vilsbiburg",-
18/06/00,Bezirk,"DomBezirk",dombezirk.de
18/06/01,Stamm,"Obertraubling, Trubilo",dpsg-obertraubling.com
18/06/03,Stamm,"Regensburg-Ziegetsdorf",pfadis-z.de
18/06/04,Stamm,"Regensburg-Kupfmühl, St. Wolfgang",dpsg-stwolfgang.de
18/06/05,Stamm,"Regensburg, St. Konrad",dpsg-st-konrad.de
18/06/06,Stamm,"Sinzing",dpsgsinzing.de
18/06/07,Stamm,"Regensburg, Herz Marien",dpsg-herz-marien.de
18/06/08,Stamm,"Regensburg-Steinweg, Hl. Dreifaltigkeit",pfadfinder-steinweg.de
18/06/11,Stamm,"Wenzenbach",pfadfinder-wenzenbach.de
18/06/12,Stamm,"Regensburg-Schwabelweis",dpsg-schwabelweis.de
18/06/14,Stamm,"Hainsacker, Geschwister Scholl",pfadfinder-hainsacker.de
18/06/15,Stamm,"Regensburg-Burgweinting",-
18/06/16,Stamm,"Pettendorf",-
18/07/00,Bezirk,"JuraBezirk",jurabezirk.de
18/07/02,Stamm,"Parsberg",dpsg-parsberg.de
18/07/03,Stamm,"Kelheim",dpsg-kelheim.de
18/07/04,Stamm,"Saal, Christ König",pfadfinder-saal.de
18/07/06,Stamm,"Abensberg-Offenstetten",dpsg-offenstetten.de
18/07/07,Stamm,"Stamm Teugn",pfadfinder-teugn.de
19/00/00,Diözese,"Diözesanverband Rottenburg-Stuttgart",dpsg.info
19/01/00,Bezirk,"Bezirk Stuttgart",dpsg-stuttgart.de
19/01/01,Stamm,"Stuttgart-Obertürkheim, St. Franziskus",dpsg-obertuerkheim.de
19/01/03,Stamm,"Stuttgart-Möhringen, St. Hedwig",-
19/01/04,Stamm,"Stuttgart-Hofen",dpsg-hofen.de
19/01/05,Stamm,"Oeffingen, Chico Mendes",pfadfinder-oeffingen.de
19/01/09,Stamm,"Stuttgart-Zuffenhausen",-
19/01/12,Stamm,"Leonberg, St. Johannes d. T.",dpsg-leonberg.de
19/02/00,Bezirk,"Bezirk Neckar/Filder",bezirk-neckar-filder.de
19/02/01,Stamm,"Esslingen, Wikinger",dpsg-esslingen.de
19/02/06,Stamm,"Neuhausen, Petrus & Paulus",dpsg-neuhausen.de
19/02/07,Stamm,"Corvus Nürtingen",dpsg-nuertingen.de
19/02/09,Stamm,"Wernau/Neckar",dpsg-wernau.de
19/03/00,Bezirk,"Bezirk Neckar",dpsg-neckar.de
19/03/02,Stamm,"Herrenberg, St. Josef",dpsg-herrenberg.de
19/03/03,Stamm,"Holzgerlingen",dpsg-holzgerlingen.de
19/03/04,Stamm,"Eningen",dpsg-eningen.de
19/03/05,Stamm,"Reutlingen-Nord",dpsg-rt-nord.de
19/03/09,Stamm,"Tübingen",dpsg-tuebingen.de
19/03/10,Stamm,"Frommern, St. Paulus",dpsg-frommern.de
19/03/11,Stamm,"Böblingen",dpsg-bb.de
19/03/13,Stamm,"Reutlingen-Mitte",dpsg-rt-mitte.de
19/03/15,Stamm,"St. Peter & Paul Weil der Stadt",weiler-pfadis.de
19/03/16,Stamm,"Reutlingen Süd",dpsg-rt-sued.de
19/03/20,Stamm,"Kiebingen, Heilig Geist",dpsg-kiebingen.de
19/03/21,Stamm,"Ammerbuch-Entringen",dpsg-entringen.de
19/04/00,Bezirk,"Bezirk Hohenstaufen",dpsg-hohenstaufen.de
19/04/01,Stamm,"Stamm Hl. Kreuz Deggingen",dpsg-deggingen.de
19/04/02,Stamm,"Donzdorf, St. Martin",-
19/04/05,Stamm,"Donzdorf-Winzingen, St. Bernhard",-
19/04/06,Stamm,"Eislingen",dpsg-eislingen.de
19/04/07,Stamm,"Göppingen, St. Maria",dpsg-gp.de
19/04/08,Stamm,"Salach, St. Margaretha",dpsg-salach.de
19/04/11,Stamm,"Schwäbisch-Gmünd, Hl. Kreuz",dpsg-schwaebischgmuend.de
19/06/00,Bezirk,"Bezirk Oberland",-
19/06/01,Stamm,"Carpe Diem Ehingen",pfadfinder-ehingen.de
19/06/02,Stamm,"Biberach, Weiße Rose",dpsg-biberach.de
19/06/03,Stamm,"Ravensburg, Impeesa",dpsg-rv.de
19/06/05,Stamm,"Friedrichshafen, Buchhorn",dpsg-fn.de
19/06/06,Stamm,"Laupheim, Kon - Tiki",kon-tiki.de
19/06/07,Stamm,"Schelklingen-Hütten, Guter Hirte",-
19/06/09,Stamm,"Wolfegg, Loreto",dpsg-wolfegg.com
19/06/11,Stamm,"Ennetach",-
19/06/12,Stamm,"Sinningen, St. Michael",-
19/06/14,Stamm,"Weingarten, Welfen",-
19/07/00,Bezirk,"Bezirk Schwarzwald-Donau",dpsg-schwarzwald-donau.de
19/07/01,Stamm,"Balingen, Hl. Geist",dpsg-balingen.de
19/07/02,Stamm,"Rottweil, J. F. Kennedy",dpsg-rottweil.de
19/07/03,Stamm,"Schramberg",dpsg-schramberg.de
19/07/06,Stamm,"Tuttlingen, Tutilo",dpsgtut.de
19/07/08,Stamm,"Weigheim, St. Otmar",-
19/08/00,Bezirk,"Bezirk Ostalb",dpsgostalb.de
19/08/01,Stamm,"Aalen, Salvator",dpsg-aalen.de
19/08/02,Stamm,"DPSG Bopfingen",dpsg-bopfingen.de
19/08/03,Stamm,"Ellwangen, St. Veit",dpsg-ellwangen.de
19/08/04,Stamm,"Giengen, St. Michael",dpsg-giengen.de
19/08/06,Stamm,"Heubach, St. Bernhard",heubacher-pfadfinder.de
19/08/08,Stamm,"Herbrechtingen, Romero",dpsg-herbrechtingen.de
19/08/21,Stamm,"Ulm-Nord",dpsg-ulm-nord.de
19/08/23,Stamm,"Ulm-Söflingen",pfadfinder-ulm.de
19/08/24,Stamm,"Rammingen",dpsg-rammingen.de
19/08/25,Stamm,"Saint-Exupery Ulm",dpsg-ulm.de
19/09/00,Bezirk,"Bezirk Unterland",dpsg-unterland.de
19/09/01,Stamm,"Bietigheim-Bissingen",dpsg-bibi.de
19/09/02,Stamm,"Heilbronn-Böcklingen, St. Kilian",-
19/09/03,Stamm,"Erlenbach, St. Martinus",dpsg-erlenbach.de
19/09/04,Stamm,"Ludwigsburg-Poppenweiler, Falke",dpsg-stamm-falke.de
19/09/05,Stamm,"Kornwestheim, St. Martin",-
19/09/06,Stamm,"Ludwigsburg, Silberschwäne",silberschwaene.de
19/09/07,Stamm,"Mühlacker, Herz-Jesu",dpsg-muehlacker.de
19/09/08,Stamm,"St. Dionys Neckarsulm",dpsg-neckarsulm.de
19/09/09,Stamm,"Brackenheim, Theodor Heuss",stammtheodorheuss.de
19/09/11,Stamm,"Heilbronn, Mahatma Ghandi",pfadfinder-heilbronn.de
19/09/12,Stamm,"Oedheim",dpsg-oedheim.de
19/09/15,Stamm,"Bad Wimpfen, Fähnlein Fieselschwein",dpsg-badwimpfen.de
19/09/18,Siedlung,"Heilbronn - Über dem Salzgrund",-
19/11/00,Bezirk,"Bezirk Hohenlohe",dpsg-bezirk-hohenlohe.de
19/11/01,Stamm,"Bad Mergentheim, Hoch- und Deutschmeister",dpsg-badmergentheim.de
19/11/02,Stamm,"Künzelsau",dpsg-kuen.de
19/11/03,Stamm,"Öhringen, Abenteuer",dpsg-oehringen.de
19/11/07,Stamm,"Santiago Schrozberg",dpsg-schrozberg.de
19/11/08,Stamm,"Ingelfingen",dpsg-ingelfingen.de
19/11/09,Stamm,"Bretzfeld Weiße Rose",dpsg-bretzfeld.de
20/00/00,Diözese,"Diözesanverband Speyer",dpsg-speyer.de
20/02/00,Bezirk,"Bezirk Trifels",-
20/02/01,Stamm,"Hauenstein, Christkönig",dpsg-hauenstein.de
20/02/02,Stamm,"Waldfischbach-Burgalben",dpsg-wfb.de
20/02/03,Stamm,"Rodalben, Sel. Bernhard",pfadis-rodalben.de
20/02/04,Stamm,"Kaiserslautern, Fridtjof Nansen",dpsg-kl.de
20/02/08,Stamm,"Rodalben, St. Josef",-
20/02/09,Siedlung,"Ludwigswinkel",-
20/02/10,Stamm,"Zweibrücken Stamm Heilige Elisabeth",dpsg-zw.de
20/03/00,Bezirk,"Bezirk Ludwigshafen",dpsg-lu.de
20/03/01,Stamm,"Frankenthal, St. Jakobus-Pilgerpfad",dpsg-frankenthal.com
20/03/02,Stamm,"Otterstadt",dpsg-otterstadt.de
20/03/03,Stamm,"Dannstadt-Schauernh., St. Michael",-
20/03/06,Stamm,"Ludwigshafen, Herz Jesu",-
20/03/07,Stamm,"Ludwigshafen-Gartenstadt, Phoenix",-
20/03/08,Stamm,"Ludwigshafen-Pfingstweide, St. Albert",dpsg-st-albert.de
20/03/09,Stamm,"Altrip, Rheingold",dpsg-altrip.de
20/03/11,Stamm,"Ludwigshafen-Friesenheim, St. Josef",-
20/03/13,Stamm,"Bobenheim, St. Laurentius",dpsg-bobenheim-roxheim.de
20/03/14,Stamm,"Maxdorf/Birkenheide, Impeesa",dpsg-maxdorf.de
20/03/18,Stamm,"Ludwigshafen-Oggersh., Christ König",pfadfinder-oggersheim.de
20/04/00,Bezirk,"Bezirk Saarpfalz",-
20/04/01,Stamm,"St. Ingbert-Rohrbach",dpsg-rohrbach-saar.de
20/04/02,Stamm,"St. Ingbert, Hassel",pfadfinder-hassel.de
20/04/05,Stamm,"Mandelbachtal/Heckendalh., St. Josef",dpsg-heckendalheim.de
20/04/06,Stamm,"St. Ingbert-Mitte",-
20/04/07,Stamm,"Homburg-Jägersb., St. Josef",jaegersburger-pfadfinder.de
20/04/10,Stamm,"DPSG Johanneum",dpsg-johanneum.de
20/04/11,Stamm,"Niederwürzbach",dpsg-niederwürzbach.de
20/04/13,Stamm,"DPSG Camino Homburg",dpsg-camino-homburg.de
20/05/00,Bezirk,"Bezirk Haardt",-
20/05/01,Stamm,"Edenkoben/Hainfeld, Hedin",dpsg-hainfeld.de
20/05/02,Stamm,"Herxheim, Amundsen",dpsg-herxheim.de
20/05/03,Stamm,"Landau, St. Albert",dpsg-landau.de
20/05/04,Stamm,"Neustadt, Guy de Larigaudie",dpsg-nw.de
20/05/06,Stamm,"Neustadt-Lachen, Franz von Assisi",dpsg-lsp.de
20/05/07,Stamm,"Winden, Marco Polo",-
20/05/09,Stamm,"Rülzheim, St. Diethardt",pfadfinder-ruelzheim.de
20/05/10,Stamm,"Lambrecht",-
20/05/14,Stamm,"Speyer, Dompfarrei",dpsg-speyer-dom.de
20/05/15,Stamm,"Speyer, St. Konrad",dpsg-stkonrad.de
21/00/00,Diözese,"Diözesanverband Trier",dpsg-trier.de
21/01/00,Bezirk,"Bezirk Koblenz",dpsg-koblenz.de
21/01/04,Stamm,"Kaltenengers",-
21/01/06,Stamm,"Urmitz",-
21/01/07,Stamm,"Koblenz-Castell-Niederberg",-
21/01/08,Stamm,"Koblenz-Südliche Vorstadt, St. Josef",dpsg-sankt-josef.de
21/01/09,Stamm,"Koblenz-Goldgrube, St. Franziskus",dpsg-frisko.de
21/01/10,Stamm,"Koblenz-Güls, Seepfadfinder",seepfadfinder-koblenz.de
21/01/11,Stamm,"Rhens, St. Theresia",dpsg-rhens.de
21/01/14,Stamm,"Bassenheim, St. Martin",pfadfinder-bassenheim.de
21/01/16,Stamm,"Koblenz-Asterstein",dpsg-asterstein.de
21/01/17,Stamm,"Münstermaifeld, Maifeld-Scouts",maifeld-scouts.de
21/02/00,Bezirk,"Bezirk Mittelmosel",-
21/02/01,Stamm,"Bernkastel-Kues, Moselfranken",-
21/02/02,Stamm,"Bernkastel-Kues, Westgoten",westgoten.de
21/02/05,Stamm,"Rachtig, Deutschherren",pfadfinder-rachtig.de
21/02/07,Stamm,"Kaisersesch",dpsg-kaisersesch.de
21/02/12,Stamm,"Wittlich, St. Rochus",-
21/03/00,Bezirk,"Bezirk Rhein-Hunsrück-Nahe",-
21/03/01,Stamm,"Kirn-Sulzbach, St. Michael",-
21/03/03,Stamm,"Bad Kreuznach, Franziskus",dpsg-kh.de
21/03/04,Stamm,"Rheinböllen, Soonwald",dpsg-rheinboellen.de
21/03/05,Stamm,"Waldalgesheim, Alagastesheim",pfadfinder-waldalgesheim.de
21/03/06,Stamm,"Sohren",-
21/03/07,Stamm,"St. Rupertus Bingerbrück",dpsg-bingerbrueck.de
21/04/00,Bezirk,"Bezirk Rhein-Wied",dpsg-rhein-wied.de
21/04/01,Stamm,"Neuwied-Oberbieber, St. Bonifatius",pfadfinder-oberbieber.de
21/04/02,Stamm,"Kurtscheid",dpsg-kurtscheid.de
21/04/03,Stamm,"Neuwied-Feldkirchen, St. Michael",dpsg-st-michael.de
21/04/04,Stamm,"DPSG Neuwied-City",dpsg-neuwied-city.de
21/04/06,Stamm,"Rheinbrohl",-
21/04/08,Siedlung,"Bad Hönningen",-
21/04/12,Stamm,"Neuwied-Engers, St. Martin",pfadfinder-engers.de
21/04/13,Stamm,"Neuwied, Heimbach-Weis",dpsg-heimbach-weis.de
21/04/14,Stamm,"Neuwied-Gladbach",dpsg-gladbach.de
21/04/17,Stamm,"Leutesdorf, Marcel Callo",-
21/05/00,Bezirk,"Bezirk Saarbrücken",dpsg-saarbruecken.de
21/05/02,Stamm,"Dudweiler, St. Bonifatius",-
21/05/05,Stamm,"Köllerbach, Herz Jesu",dpsg-koellerbach.de
21/05/06,Stamm,"Friedrichsthal, Wikinger",dpsg-friedrichsthal.de
21/05/07,Stamm,"Klarenthal, St. Bartholomäus",dpsg-klarenthal.de
21/05/11,Stamm,"Ludweiler, Warndt-Scouts",dpsg-warndt-scouts.de
21/05/12,Stamm,"Saarbrücken, Brebach",dpsgbrebach.de
21/06/00,Bezirk,"Bezirk Saar-Hochwald",-
21/06/01,Stamm,"DPSG Roden, Stamm Graf Folke Bernadotte Saarlouis-Roden",dpsg-roden.de
21/06/02,Siedlung,"Perl, St. Gervasius & Protasius",-
21/06/04,Stamm,"Rehlingen-Siersburg, St. Nikolaus",dpsg-rehlingen.de
21/06/07,Stamm,"DPSG Saarlouis Stamm Beaumarais",dpsg-beaumarais.de
21/06/08,Stamm,"Hülzweiler, St. Laurentius",dpsg-huelzweiler.de
21/07/00,Bezirk,"Bezirk Schaumberg-Blies",-
21/07/02,Stamm,"Illingen, St. Stephan, Die Adler",die-adler-illingen.de
21/07/04,Stamm,"Hasborn",dpsg-hasborn.de
21/07/12,Stamm,"Neunkirchen, St. Pius",-
21/08/00,Bezirk,"Bezirk Sieg",dpsg-bezirk-sieg.de
21/08/02,Stamm,"Kirchen, St. Michael",-
21/08/03,Stamm,"Niederfischbach",-
21/08/04,Stamm,"Betzdorf, St. Ignatius",-
21/08/05,Stamm,"Niederschelderhütte/Birken",-
21/09/00,Bezirk,"Bezirk Trier",dpsg-bezirk-trier.de
21/09/02,Stamm,"Trier-Euren, Helena/Tempelherren",dpsg-tempelherren.de
21/09/03,Stamm,"Trier-Pfalzel, Pankratius",dpsg-pfalzel.de
21/09/06,Stamm,"Saarburg-Beurig, St. Franziskus",-
21/09/08,Siedlung,"Trier-Tarforst, Centarburs",dpsg-centarburs-trier.de
21/09/10,Stamm,"Trier-Heiligkreuz, Santa Cruz",dpsg-santacruz-trier.de
21/09/13,Stamm,"Föhren, Don Bosco",-
21/10/00,Bezirk,"Bezirk Eifel / Ahr",dpsg-eifel-ahr.de
21/10/01,Stamm,"Adenau",dpsg-adenau.de
21/10/03,Stamm,"Grafschaft Ringen, G. Galilei",dpsg-ringen.net
21/10/04,Stamm,"Andernach, St. Michael",dpsg-andernach.de
21/10/05,Stamm,"Balu Hillesheim",stamm-balu.de
21/10/06,Stamm,"Weißenthurm/Kettig, Feuer und Flamme",dpsg-feuerundflamme.de
21/10/07,Stamm,"Kruft, Dionysius",-
21/10/10,Stamm,"Saffig Pellenzbande",-
21/10/11,Stamm,"Andernach, Am Nastberg Eich",-
22/00/00,Diözese,"Diözesanverband Würzburg",dpsg-wuerzburg.de
22/01/00,Bezirk,"Bezirk Untermain",-
22/01/01,Stamm,"Aschaffenburg-Innenstadt, Johannisburg",stamm-johannisburg.de
22/01/02,Stamm,"Mainaschaff, Ascapha",pfadfinderhaus.de
22/01/03,Stamm,"Stockstadt, Mauritius",dpsg-stockstadt.de
22/01/04,Stamm,"Aschaffenburg-Gailbach, Guy de Larigaudie e.V.",dpsg-gailbach.de
22/01/05,Stamm,"Großwallstadt, Impeesa",-
22/01/08,Stamm,"Aschaffenburg/Schweinheim",dpsg-schweinheim.de
22/01/09,Stamm,"Heimbuchenthal, Schwarzkittel",dpsg-heimbuchenthal.de
22/01/10,Stamm,"Albstadt",stamm-albstadt.de
22/01/11,Stamm,"Mönchberg, Aubachtal",-
22/01/12,Stamm,"Elsenfeld, Germania",stammgermania.de
22/01/13,Stamm,"Alzenau",dpsg-alzenau.de
22/01/14,Stamm,"Großostheim",pfadfinder-grossostheim.de
22/03/00,Bezirk,"Bezirk St. Kilian",bezirk-st-kilian.de
22/03/04,Stamm,"Würzburg-Lengfeld, St. Burkard",pfadfinder-lengfeld.de
22/03/05,Stamm,"Würzburg-Sanderau, Fred Joseph",fred-joseph.de
22/03/06,Stamm,"Würzburg-Heidingsfeld, Tilly",-
22/03/07,Stamm,"Würzburg-Rottenbauer, Wolfskeel",stamm-wolfskeel.de
22/03/09,Stamm,"Würzburg-Frauenland, Greiffenclau",greiffenclau.de
22/05/00,Bezirk,"Bezirk Genesis Nord",dpsg-bezirk-geno.de
22/05/01,Stamm,"Gerolzhofen, Gralsritter",-
22/05/03,Stamm,"Euerbach, St. Michael",-
22/05/04,Stamm,"Schweinfurt, Tokwon",-
22/05/05,Stamm,"Niederwerrn, von Münster",dpsg-niederwerrn.de
22/05/06,Stamm,"Mellrichstadt, Martin Pollich",-
22/05/08,Stamm,"Ostheim",-
22/05/09,Stamm,"Haßfurt, Lichtenstein",dpsg-hassfurt.de
22/05/12,Stamm,"Münnerstadt, Kreuzritter",pfadfinder-muennerstadt.de
22/05/13,Stamm,"Bad Kissingen, Henneberg",pfadfinder-badkissingen.de
22/05/15,Stamm,"Nordheim/Rhön",-
22/05/16,Stamm,"Stockheim",-
22/05/18,Stamm,"Oberelsbach, Buchonia",dpsg-buchonia.de
22/08/00,Bezirk,"Bezirk Main-Spessart",-
22/08/02,Stamm,"Lohr-Sackenbach, Bonifatius",-
22/08/03,Stamm,"DPSG Stamm Roncalli Partenstein",-
22/08/06,Stamm,"Lohr-Sendelbach, St. Josef",dpsg-sendelbach.de
22/10/00,Bezirk,"Bezirk Mainfranken",-
22/10/01,Stamm,"Randersacker, St. Stephanus",-
22/10/02,Stamm,"Ochsenfurt, Konradin",stamm-konradin.de
22/10/05,Stamm,"Rimpar,Tilman Riemenschneider",dpsg-rimpar.de
22/10/06,Stamm,"Reichenberg/Hattenhausen",stamm-hattenhausen.de
22/10/09,Stamm,"Stadtschwarzach",dpsg-schwarzach.de
22/10/11,Stamm,"Leinach, Kardinal Döpfner",dpsg-leinach.de
22/10/12,Stamm,"Eisingen, St. Nikolaus",-
22/10/13,Stamm,"Wertheim",-
31/00/00,Diözese,"Diözesanverband Magdeburg",dpsg-magdeburg.de
31/11/02,Stamm,"Magdeburg, Unser lieben Frauen",dpsg-md.de
31/15/01,Stamm,"Sangerhausen-Altstadt, St. Jutta",-
31/16/01,Stamm,"Badersleben, Sankt Martin e.V.",dpsg-badersleben.de
31/16/02,Stamm,"Blankenburg, St. Josef",dpsg-blankenburg.de
31/17/05,Stamm,"Halle (Saale), Phönix",dpsg-halle.de
31/17/06,Siedlung,"Burgenlandfalken Weißenfels",-
31/19/02,Stamm,"Drachentöter Dresden",dpsg-dresden.de
31/19/03,Stamm,"Leipzig, Tilia",dpsg-leipzig.de
32/00/00,Diözese,"Diözesanverband Erfurt",dpsg-thueringen.de
32/00/01,Stamm,"Jena, St. Michael",-
32/60/03,Stamm,"Uder, St. Jakobus",-
32/60/04,Stamm,"Heiligenstadt, St. Aegidien",-
32/60/08,Stamm,"Erfurt, St. Elisabeth",pfadfinder-erfurt.de
32/60/09,Stamm,"Weimar, Marcel Callo",-
32/60/13,Stamm,"Niederorschel, St. Marien",-
33/00/00,Diözese,"Diözesanverband Hamburg",dpsg-hamburg.de
33/00/01,Siedlung,"Kiel Damiano",dpsg-kiel.de
33/00/02,Stamm,"Hamburg-Eimsbüttel, Wilder Weiher",dpsg-eimsbuettel.de
33/00/03,Siedlung,"Glinde, GerLinde",dpsg-glinde.de
33/02/01,Stamm,"Hamburg-Rahlstedt, Mutter Teresa",dpsg-rahlstedt.de
33/02/02,Stamm,"Hamburg-Hamm, Charles de Foucauld",dpsg-hamburg-hamm.de
33/02/03,Stamm,"Hamburg-Farmsen, St. Ansgar",dpsg-farmsen.de
33/02/04,Stamm,"Hamburg-Blankenese, Jacques Marquette",dpsg-blankenese.de
33/02/05,Stamm,"Hamburg-Harburg, Kardinal Graf  v. Galen",dpsg-harburg.de
33/02/06,Stamm,"Hamburg-Neugraben, Störtebeker",dpsg-stoertebeker.de
33/02/08,Stamm,"Hamburg-Poppenbüttel, Don Bosco",stamm-donbosco.de
33/02/10,Stamm,"Hamburg-Volksdorf, St. Martin",pfadfinder-volksdorf.de
33/02/12,Stamm,"Ahrensburg, Camilo Torres",dpsg-ahrensburg.de
33/02/13,Stamm,"Norderstedt, St. Hedwig",dpsg-norderstedt.de
33/02/15,Stamm,"Hamburg-Altona, Große Freiheit",dpsg-altona.de
33/02/17,Stamm,"Hamburg-Eidelstedt, Santa Lucia",-
33/03/03,Stamm,"Lübeck, Johannes Prassek",dpsg-luebeck.de
33/03/04,Stamm,"Rendsburg, Stern des Nordens",dpsg-rendsburg.de
33/03/05,Stamm,"Bargteheide, Nepomuk",dpsg-bargteheide.de
33/03/06,Stamm,"Digna Ochoa Quickborn",dignao.de
33/03/07,Stamm,"dpsg  Stamm Nelson Mandela Halstenbek/Pinneberg",dpsg-halstenbek-pinneberg.de
33/03/09,Stamm,"Itzehoe, Geschwister Scholl",dpsg-iz.de
